Text,Layanan Hukum,Layanan Medis,Layanan Psikologis,Rehabilitasi Sosial,Jaminan Keselamatan,Layanan Pendidikan,Pengasuhan Pengganti,Bantuan Sosial
saya pernah melihat kekerasan terhadap seorang pekerja yang menerima perlakuan kasar dari atasannya di teriaki dengan nada tinggi karyawan tersebut mendapat kekerasan mental,0,0,1,0,1,0,0,0
dulu di tempat saya bekerja atasan saya selalu marah marah apabila anak buahnya tidak bekerja sesuai keinginan dia bukan kekerasan fisik yang di terima melainkan kekerasan mental,0,0,1,0,1,0,0,0
ketika sd dulu saya pernah melihat teman saya menjadi korban bully dan menjadi bahan tontonan teman teman yang lain bahkan teman saya pernah di kurung di dalam kelas dan mendapatkan pelecehan seksual dari teman temannya yang lain saat ini teman saya sangat trauma,0,0,1,0,0,0,0,0
seorang anak pernah di tinggal orang tuanya dia harus mengurus uang sekolah dan kebutuhan sehari harinya sendirian namun saat orang tuanya pulang kerumah yang terjadi sang anak malah di siksa karena masalah sepele,0,1,0,0,0,0,1,0
seorang anak sekolah tidak bisa memberikan nilai terbaik kepada kedua orang tuanya sehingga orang tua tersebut marah dan melakukan kekerasan fisik anak tersebut saat ini mengalami trauma,0,1,1,0,0,0,0,0
teman saya mengalami bullying di cemooh dengan kata kata merendahkan mejanya di coret coret serta diludahi sampai dia trauma untuk masuk ke sekolah,0,0,1,0,0,0,0,0
saya melihat tetangga saya ribut mulai dari adu mulut hingga saling jambak rambut salah satu dari mereka membenturkan kepala yang lain hingga kepalanya berdarah,0,1,0,0,0,0,0,0
saya mempunyai teman yang pintar namun selalu di katai tablo atau bodoh dia selalu di bully seperti itu dan saat ini dia trauma,0,0,1,0,0,0,0,0
saya melihat laki laki berbicara kepada seorang perempuan laki laki itu bilang mempunyai nafsu hasrat kepada tubuh perempuan itu sehingga perempuan itu takut dan mengalami trauma kepada setiap laki laki,0,0,1,0,0,0,0,0
teman saya di bully hanya karena ia berpakaian culun bahkan bullying terjadi setiap hari hingga korban trauma,0,0,1,0,0,0,0,0
saya melihat seorang anak yang terluka karena dipukul bapanya anak tersebut menegur bapanya yang selingkuh,0,1,0,0,0,0,0,0
saya melihat seorang anak yang ditelantarkan kedua orangtuanya pergi merantau sejak lama dan tidak pernah pulang untuk memperhatikan anak tersebut,0,0,0,0,0,0,1,0
saya melihat dua orang anak yang di tinggal ibunya bekerja benjadi tenaga kerja wanita anak itu terlantar dan hanya tamat sekolah dasar,0,0,0,0,0,0,1,0
saya melihat seorang anak disuruh membeli sesuatu oleh orang tuanya namun apa yang dibeli anak tersebut salah hingga anak tersebut di lempar benda tumpul oleh orang tuanya,1,1,0,0,0,0,0,0
seorang majikan menyuruh anak buahnya dengan kata kasar dan kalimat yang tidak menyenangkan,0,0,0,0,1,0,0,0
saya melihat seorang senior menampar junior nya hanya karena tidak menang lomba sekolah,0,1,0,0,0,0,0,0
saya melihat kekerasan mental yang terjadi di salah satu universitas yang mengakibatkan korban depresi dan trauma,0,0,1,0,0,0,0,0
aku punya teman yang sering di bully karena dia tidak pintar malas dan bau badan teman ku sangat trauma,0,0,1,0,0,0,0,0
kerabat terdekat saya menggunakan narkoba sudah sejak lama namun saya bingung bagaimana cara mengadukannya,0,0,0,1,0,0,0,0
saya melihat seseorang mendapatkan kekerasan fisik sehingga berpengaruh kepada mental orang tersebut,0,1,1,0,0,0,0,0
sewaktu kecil adik saya sering di kunci di kamar dicubit dan di pukul hingga sekarang adik saya mempunyai trauma,0,0,1,0,0,0,0,0
pelaku tidak dapat menahan emosinya sehingga melakukan kekerasan fisik dan psikis kepada korban,0,1,1,0,0,0,0,0
saya melihat seorang bayi di titipkan kepada baby siter lalu ditinggal oleh kedua orang tuanya dan tidak pernah kembali lagi,0,0,0,0,0,0,1,0
saya melihat kekerasan rumah tangga seorang istri di pukuli oleh suaminya,1,1,0,0,0,0,0,0
payudara saya di pegang lalu saya di tampar saya sangat takut dan trauma,0,0,1,0,0,0,0,0
tolong ada seseorang yang memakai barang terlarang di depan saya saya harus apa,0,0,0,1,0,0,0,0
